file,time_s,seller_name_cer,seller_name_f1,seller_name_em,seller_address_cer,seller_address_f1,seller_address_em,seller_gstin_cer,seller_gstin_f1,seller_gstin_em,buyer_name_cer,buyer_name_f1,buyer_name_em,buyer_address_cer,buyer_address_f1,buyer_address_em,buyer_gstin_cer,buyer_gstin_f1,buyer_gstin_em,invoice_number_cer,invoice_number_f1,invoice_number_em,invoice_date_cer,invoice_date_f1,invoice_date_em,place_of_supply_cer,place_of_supply_f1,place_of_supply_em,total_taxable_value_cer,total_taxable_value_f1,total_taxable_value_em,total_cgst_cer,total_cgst_f1,total_cgst_em,total_sgst_cer,total_sgst_f1,total_sgst_em,total_igst_cer,total_igst_f1,total_igst_em,total_amount_cer,total_amount_f1,total_amount_em,gt_items_count,pred_items_count,items_count_match,items_desc_recall,math_diff,math_pass,validation_passed,confidence
test_invoice_01.jpg,8.324234962463379,0.034482758620689655,0.75,0.0,,,,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,1.0,1.0,3,3,True,1.0,0.0,True,True,0.9000000000000001
test_invoice_02.jpg,3.327831983566284,0.1111111111111111,0.5,0.0,0.15625,0.6666666666666665,0.0,0.6666666666666666,0.0,0.0,0.1,0.6666666666666666,0.0,0.1,0.8571428571428571,0.0,0.6666666666666666,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,1.0,1.0,0.125,0.6666666666666666,0.0,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,3,3,True,0.6666666666666666,0.0,True,True,0.9000000000000001
test_invoice_03.jpg,3.505683422088623,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.08695652173913043,0.5714285714285715,0.0,0.0,1.0,1.0,2.066666666666667,0.0,0.0,0.0,1.0,1.0,0.125,0.5,0.0,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,3,3,True,1.0,0.0,True,True,0.9000000000000001
test_invoice_04.jpg,3.823025941848755,0.0,1.0,1.0,0.030303030303030304,0.5714285714285715,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.12,0.5714285714285715,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.14285714285714285,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,1.0,1.0,4,4,True,1.0,0.0,True,True,0.9000000000000001
test_invoice_05.jpg,4.444039344787598,0.0,1.0,1.0,0.07407407407407407,0.5714285714285715,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.6875,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.5,0.0,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,5,5,True,1.0,0.0,True,True,0.9000000000000001
test_invoice_06.jpg,3.559190511703491,0.07142857142857142,0.6666666666666666,0.0,0.08823529411764706,0.4,0.0,0.5333333333333333,0.0,0.0,0.10526315789473684,0.6666666666666666,0.0,1.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.9,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.5,0.0,0.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,3,4,False,0.0,0.0,True,True,0.9000000000000001
